,Response 1,Response 2,Response 3,Response 4
0,-,-,-,-
1,-,-,-,-
2,-,-,-,-
3,-,-,-,-
4,-,-,-,-
5,"Going through misconceptions, common errors in quizzes. ","Create a poll, so students can ask for clarifications/questions, and we can spend time if many students have the same question",Working through tasks together as a group with help from tutors.,Everything is good :)
6,-,-,-,-
7,I think the tutorial sheets are the most useful.,"Monday lectures are too short and too passive, hence we aren't able to get much from the in-person lecture. I wish to get more involved in the lecture. Perhaps ask the questions all the time on top hat to keeps as focus on the lecture.",The chance to collaborate and learn/teach/help friends. We learn while we teach or help friends.,Please make attendance compulsory. Students are not attending the workshops and make it hard to collaborate.
8,informative,no,informative,no
9,"The tutorial notebooks are quite useful. Every week I can learn a lot from it. Besides, the lectures are the most interesting way for me to learn Python.",Nothing for me.,"In the workshop, we can communicate with our classmates and seek for help any time we need, which is very useful.",Everything is pretty good.
10,"it leads me to the fundamental of python as I haven't contract it before, and I like the style of the lecture. It's interesting and meaningful. The notes are all very helpful in including lots of details and I could ask for help from the lecturer and TA. It's great!",tutorial sheets are a little bit more to read all of them before workshop,TA could solve my questions,it needs more time to finish the task of workshops. 2h is not enough
11,a lot useful code skills and algorithm ideas,link to lecture tutorial,improve teamwork and code ability,just ok
12,yes,everything is fine,I can practice more using python,no
13,-,-,-,-
14,-,-,-,-
15,Monday lectures and tutorial sheets.,I think now everything is fine. Just if we can have a unified notebook which can includes the all materials that will be nice.,"The tutors. When I have any question, I can ask tutors. During that process, I felt interactive and also learned a lot new things.",I hope we can be assigned to some small teams. I feel a little bit hard to ask others to cooperate with. The guy you grouped with today may not come next week. Then you need find another classmates but they may already have been grouped.
16,The tutorial sheets,-,"The fact that we work in teams and receive a lot of help, information and feedback from the assistants. ",-
17,-,-,-,-
18,-,-,-,-
19,-,-,-,-
20,The videos.,"Monday lectures, I cannot keep pace with the speed of teacher typing the code.","Discussion and sometimes we can directly ask the assistant teacher, it is useful.","NO, perfect!"
21,-,-,-,-
22,"First of all, the explanations of each section in notes are very detailed, and there are many places to practice. There are videos available for each tutorial, which I think are very useful.","I think the content of the lecture each week is not closely related to the content of notes. I think the content of the lecture can be put in notes in advance, and then we can practice and train the content of this part in the lecture.","The workshop provides many opportunities for us to interact with lecturers and teaching assistants. If you have any questions you don't understand, you can get timely feedback and communication, which is helpful to our learning.","I think the workshop can grasp the overall progress. The process of tasks done by each group is different. At the appropriate time, if the teacher can mention the key points and key steps of the task together. I think we can speed up the progress of each group."
23," the rich example is the most useful aspect, which can help me to understand the knowledge.",maybe more videos.,group work.,maybe add some hints
24,the quiz and tutorial notebook,Could you plz upload the code in Monday's lecture,get familiar with the working flow,"Sometimes, it's too difficult so that we might not finish the task( do hope provide more clues"
25,recording videos and lectures,nope,people can work together and it helps us find more interesting solutions,no
26,the videos,better if more practical examples are included in the videos,practical examples,none
